,experiment_name,datasplit_type,datasplit_size,datasplit_root_dir,batch_size,num_epochs,patience,data_augmentation,trunk,embedder,loss,sampler,optimizer_trunk,optimizer_trunk_lr,optimizer_trunk_weight_decay,optimizer_embedder,optimizer_embedder_lr,optimizer_embedder_weight_decay,miner,train_precision_at_1_level0,train_precision_at_3_level0,train_precision_at_5_level0,train_precision_at_10_level0,val_precision_at_1_level0,val_precision_at_3_level0,val_precision_at_5_level0,val_precision_at_10_level0,test_precision_at_1_level0,test_precision_at_3_level0,test_precision_at_5_level0,test_precision_at_10_level0
0,hyperparameter_search_by_individual,by_individual,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9891855356539372,0.9949307198377828,0.995606623859412,0.9969584319026698,,,,,0.9469339622641508,0.9683098591549296,0.9753521126760564,0.9853286384976526
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9987345776652956,0.9974755443357528,0.9974755443357528,0.9974755443357528,0.9565217391304348,0.9534883720930232,0.962432915921288,0.9713774597495528,0.9106753812636168,0.9269602577873254,0.9387755102040816,0.949516648764769
0,hyperparameter_search_by_individual,by_individual,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.98411625549172,0.9912132477188238,0.9935789117945252,0.9966204798918552,,,,,0.949882075471698,0.9694835680751174,0.9747652582159624,0.9835680751173708
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9984182220816196,0.9974755443357528,0.9974755443357528,0.9974755443357528,0.9583333333333334,0.958855098389982,0.964221824686941,0.9713774597495528,0.911764705882353,0.9237379162191192,0.9312567132116004,0.949516648764769
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9977855109142676,0.9968444304196908,0.9971599873777216,0.9971599873777216,0.960144927536232,0.962432915921288,0.966010733452594,0.9785330948121646,0.911764705882353,0.9258861439312568,0.9344790547798066,0.953813104189044
0,hyperparameter_search_by_individual,by_individual,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.98107468739439,0.9912132477188238,0.9925650557620818,0.995606623859412,,,,,0.9469339622641508,0.9636150234741784,0.9735915492957746,0.9841549295774648
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9987345776652956,0.9974755443357528,0.9974755443357528,0.9974755443357528,0.9619565217391304,0.960644007155635,0.9713774597495528,0.9731663685152058,0.9095860566448802,0.9194414607948442,0.933404940923738,0.9516648764769066
0,experiment_arcfaceloss_resnet18_provided_bearid,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,100,25,"{'colorjitter': {'hue': [-0.1, 0.1], 'saturation': [0.9, 1.1]}, 'rotation': {'degrees': [-10, 10]}}",resnet18,1024,arcfaceloss,mperclass,adam,0.0001,0.0,adam,0.001,0.0,batcheasyhardminer,0.9987345776652956,0.9968444304196908,0.9968444304196908,0.9971599873777216,0.9239130434782608,0.9373881932021468,0.9481216457960644,0.9570661896243292,0.8583877995642702,0.8968850698174006,0.9097744360902256,0.9280343716433942
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9981018664979436,0.9968444304196908,0.9968444304196908,0.9971599873777216,0.963768115942029,0.958855098389982,0.962432915921288,0.9677996422182468,0.908496732026144,0.9226638023630503,0.9355531686358752,0.953813104189044
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9984182220816196,0.9971599873777216,0.9974755443357528,0.9974755443357528,0.960144927536232,0.9534883720930232,0.958855098389982,0.9677996422182468,0.908496732026144,0.933404940923738,0.945220193340494,0.9559613319011816
0,hyperparameter_search_by_individual,by_individual,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9874957755998648,0.9918891517404528,0.9935789117945252,0.9945927678269684,,,,,0.9545990566037736,0.96537558685446,0.9730046948356808,0.9847417840375589
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9981018664979436,0.9971599873777216,0.9971599873777216,0.9971599873777216,0.9565217391304348,0.9516994633273704,0.962432915921288,0.9731663685152058,0.9161220043572984,0.9344790547798066,0.9516648764769066,0.962406015037594
0,baseline_tripletmarginloss_full_by_provided_bearid,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,1,10,{},resnet18,128,tripletmarginloss,mperclass,adam,0.0001,0.0,adam,0.001,0.0,batcheasyhardminer,0.4748497310977538,0.6065004733354371,0.6670874092773746,0.7428210792047965,0.5362318840579711,0.6583184257602862,0.7316636851520573,0.7906976744186046,0.3997821350762527,0.5209452201933404,0.5853920515574651,0.6745435016111707
0,hyperparameter_search_by_individual,by_individual,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9773572152754308,0.9895234876647516,0.9915511997296385,0.9949307198377828,,,,,0.9528301886792452,0.9677230046948356,0.9730046948356808,0.9823943661971832
0,baseline_circleloss_full_by_provided_bearid,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,1,10,{},resnet18,128,circleloss,mperclass,adam,0.0001,0.0,adam,0.001,0.0,batcheasyhardminer,0.5419171148370768,0.6582518144525087,0.7166298516882298,0.7892079520353424,0.5398550724637681,0.6618962432915921,0.7101967799642218,0.7960644007155635,0.4389978213507626,0.5596133190118152,0.6272824919441461,0.7003222341568206
0,experiment_arcfaceloss_convnext_tiny_individual,by_individual,full,data/04_feature/bearidentification/bearid/split,32,100,25,"{'colorjitter': {'hue': [-0.1, 0.1], 'saturation': [0.9, 1.1]}, 'rotation': {'degrees': [-10, 10]}}",convnext_tiny,1024,arcfaceloss,mperclass,adam,0.0001,0.0,adam,0.001,0.0,batcheasyhardminer,0.9685704629942548,0.9787090233186888,0.9831023994592768,0.988509631632308,,,,,0.9050707547169812,0.942488262910798,0.9559859154929576,0.9741784037558686
0,hyperparameter_search,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9987345776652956,0.9974755443357528,0.9974755443357528,0.9974755443357528,0.9583333333333334,0.958855098389982,0.966010733452594,0.9713774597495528,0.908496732026144,0.9226638023630503,0.9301825993555316,0.9430719656283566
0,hyperparameter_search_by_individual,by_individual,full,data/04_feature/bearidentification/bearid/split,32,200,40,"{'colorjitter': {'hue': [-0.25, 0.25], 'saturation': [0.6333333333333333, 1.2333333333333334]}, 'rotation': {'degrees': 16.666666666666668}}",convnext_large,512,arcfaceloss,mperclass,adam,7.196856730011513e-05,0.0,adam,7.196856730011513e-05,0.0,batcheasyhardminer,0.9814126394052044,0.989861439675566,0.9939168638053396,0.9945927678269684,,,,,0.9481132075471698,0.9677230046948356,0.9753521126760564,0.988262910798122
0,best_split_by_provided_bearid,by_provided_bearid,full,data/04_feature/bearidentification/bearid/split,32,100,25,"{'colorjitter': {'hue': [-0.1, 0.1], 'saturation': [0.9, 1.1]}, 'rotation': {'degrees': [-10, 10]}}",convnext_tiny,1024,arcfaceloss,mperclass,adam,0.0001,0.0,adam,0.001,0.0,batcheasyhardminer,0.9984182220816196,0.9971599873777216,0.9971599873777216,0.9971599873777216,0.947463768115942,0.960644007155635,0.960644007155635,0.966010733452594,0.8703703703703705,0.8947368421052632,0.9140708915145004,0.9344790547798066
